Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2014,3659,2.0,York,Sheffield,Vincenzo Nibali  (Astana Pro Team),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Romain Bardet,
2014,3659,3.0,Cambridge,Londres,Marcel Kittel  (Team Giant-Shimano),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Romain Bardet,
2014,3659,4.0,Le Touquet-Paris-Plage,Lille,Marcel Kittel  (Team Giant-Shimano),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Romain Bardet,
2014,3659,5.0,Ypres,Arenberg Porte du Hainaut,Lars Boom  (Belkin Pro Cycling),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Michal Kwiatkowski,
2014,3659,6.0,Arras Citadelle,Reims,André Greipel  (Lotto-Belisol),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Michal Kwiatkowski,
2014,3659,7.0,Épernay,Nancy,Matteo Trentin  (Omega Pharma-Quick Step),Vincenzo Nibali,Peter Sagan,Cyril Lemoine,Michal Kwiatkowski,
2014,3659,8.0,Tomblaine,Gérardmer,Blel Kadri  (Ag2R La Mondiale),Vincenzo Nibali,Peter Sagan,Blel Kadri,Michal Kwiatkowski,
2014,3659,9.0,Gérardmer,Mulhouse,Tony Martin  (Omega Pharma-Quick Step),Tony Gallopin,Peter Sagan,Tony Martin,Michal Kwiatkowski,
2014,3659,10.0,Mulhouse,La Planche des Belles Filles,Vincenzo Nibali  (Astana Pro Team),Vincenzo Nibali,Peter Sagan,Joaquim Rodriguez,Romain Bardet,
2014,3659,11.0,Besançon,Oyonnax,Tony Gallopin  (Lotto-Belisol),Vincenzo Nibali,Peter Sagan,Joaquim Rodriguez,Romain Bardet,
2014,3659,12.0,Bourg-en-Bresse,Saint-Etienne,Alexander Kristoff  (Team Katusha),Vincenzo Nibali,Peter Sagan,Joaquim Rodriguez,Romain Bardet,
