Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1911,13,PAUL DEMAN,150,ISOLES,198h 00' 00'',-,,,5343,15,points,712800,0
1911,14,JULIEN MAITRON,10,LA FRANCAISE,216h 00' 00'',-,,,5343,15,points,777600,0
1911,15,JULES DELOFFRE,159,ISOLES,217h 00' 00'',-,,,5343,15,points,781200,0
1911,16,GEORGES PAULMIER,32,AUTOMOTO,226h 00' 00'',-,,,5343,15,points,813600,0
1911,17,OTTAVIO PRATESI,143,ISOLES,251h 00' 00'',-,,,5343,15,points,903600,0
1911,18,ALFRED FAURE,31,AUTOMOTO,255h 00' 00'',-,,,5343,15,points,918000,0
1911,19,VINCENT D'HULST,151,ISOLES,265h 00' 00'',-,,,5343,15,points,954000,0
1911,20,LUCIEN POTHIER,29,LE GLOBE,284h 00' 00'',-,,,5343,15,points,1022400,0
1911,21,EDOUARD LEONARD,34,AUTOMOTO,287h 00' 00'',-,,,5343,15,points,1033200,0
1911,22,CONSTANT MENAGER,27,LE GLOBE,290h 00' 00'',-,,,5343,15,points,1044000,0
1911,23,MAURICE PARDON,23,LE GLOBE,290h 00' 00'',-,,,5343,15,points,1044000,0
1911,24,LOUIS COLSAET,132,ISOLES,299h 00' 00'',-,,,5343,15,points,1076400,0
1911,25,MARIUS VILETTE,165,ISOLES,328h 00' 00'',-,,,5343,15,points,1180800,0
1911,26,ERNEST RICAUX,37,AUTOMOTO,350h 00' 00'',-,,,5343,15,points,1260000,0
1911,27,PIETRO GHISLOTTI,104,ISOLES,376h 00' 00'',-,,,5343,15,points,1353600,0
1911,28,LUCIEN ROQUEBERT,109,ISOLES,391h 00' 00'',-,,,5343,15,points,1407600,0
1912,1,ODIEL DEFRAEYE,10,ALCYON,49h 00' 00'',-,,,5289,15,points,176400,0
1912,2,EUGÈNE CHRISTOPHE,21,ARMOR,108h 00' 00'',-,,,5289,15,points,388800,0
1912,3,GUSTAVE GARRIGOU,6,ALCYON,140h 00' 00'',-,,,5289,15,points,504000,0
1912,4,MARCEL BUYSSE,15,PEUGEOT,147h 00' 00'',-,,,5289,15,points,529200,0
1912,5,JEAN ALAVOINE,23,ARMOR,148h 00' 00'',-,,,5289,15,points,532800,0
1912,6,PHILIPPE THYS,14,PEUGEOT,148h 00' 00'',-,,,5289,15,points,532800,0
1912,7,HECTOR TIBERGHEN,18,GRIFFON,149h 00' 00'',-,,,5289,15,points,536400,0
1912,8,HENRI DEVROYE,40,LE GLOBE,163h 00' 00'',-,,,5289,15,points,586800,0
1912,9,FÉLICIEN SALMON,12,PEUGEOT,166h 00' 00'',-,,,5289,15,points,597600,0
1912,10,ALFONS SPIESSENS,27,J.B-LOUVET,167h 00' 00'',-,,,5289,15,points,601200,0
1912,11,LOUIS HEUSGHEM,9,ALCYON,167h 00' 00'',-,,,5289,15,points,601200,0
1912,12,RENÉ VANDENBERGHE,50,THOMANN,194h 00' 00'',-,,,5289,15,points,698400,0
1912,13,VICENZO BORGARELLO,29,J.B-LOUVET,212h 00' 00'',-,,,5289,15,points,763200,0
1912,14,FRANÇOIS FABER,31,AUTOMOTO,229h 00' 00'',-,,,5289,15,points,824400,0
1912,15,LOUIS ENGEL,41,AIGLON,241h 00' 00'',-,,,5289,15,points,867600,0
1912,16,CHARLES DERUYTER,13,PEUGEOT,255h 00' 00'',-,,,5289,15,points,918000,0
1912,17,JACQUES COOMANS,48,THOMANN,260h 00' 00'',-,,,5289,15,points,936000,0
1912,18,FIRMIN LAMBOT,39,LE GLOBE,265h 00' 00'',-,,,5289,15,points,954000,0
1912,19,OTTAVIO PRATESI,198,ISOLES,304h 00' 00'',-,,,5289,15,points,1094400,0
1912,20,CHARLES GUYOT,45,AIGLON,309h 00' 00'',-,,,5289,15,points,1112400,0
1912,21,JULES DELOFFRE,156,ISOLES,320h 00' 00'',-,,,5289,15,points,1152000,0
1912,22,GABRIEL FIGUET,20,GRIFFON,335h 00' 00'',-,,,5289,15,points,1206000,0
1912,23,EDOUARD LEONARD,28,J.B-LOUVET,346h 00' 00'',-,,,5289,15,points,1245600,0
1912,24,EUGÈNE DHERS,32,AUTOMOTO,354h 00' 00'',-,,,5289,15,points,1274400,0
1912,25,PIERRE-JOSEPH HEUSGHEM,38,LE GLOBE,358h 00' 00'',-,,,5289,15,points,1288800,0
1912,26,PIERRE EVERAERT,166,ISOLES,364h 00' 00'',-,,,5289,15,points,1310400,0
1912,27,JULIEN MAITRON,35,AUTOMOTO,366h 00' 00'',-,,,5289,15,points,1317600,0
1912,28,HENRI CORNET (GEBOREN JARDY),36,LE GLOBE,398h 00' 00'',-,,,5289,15,points,1432800,0
1912,29,FRANÇOIS LAFOURCADE,169,ISOLES,398h 00' 00'',-,,,5289,15,points,1432800,0
1912,30,AUGUSTINN RINGEVAL,143,ISOLES,408h 00' 00'',-,,,5289,15,points,1468800,0
1912,31,MAURICE LELIAERT,102,ISOLES,487h 00' 00'',-,,,5289,15,points,1753200,0
1912,32,GEORGES OUDIN,159,ISOLES,494h 00' 00'',-,,,5289,15,points,1778400,0
1912,33,FERNAND COURCELLES,127,ISOLES,495h 00' 00'',-,,,5289,15,points,1782000,0
1912,34,RAYMOND HARQUET,136,ISOLES,512h 00' 00'',-,,,5289,15,points,1843200,0
1912,35,EMILE DRUZ,177,ISOLES,544h 00' 00'',-,,,5289,15,points,1958400,0
1912,36,EMILE EIGELDINGER,145,ISOLES,545h 00' 00'',-,,,5289,15,points,1962000,0
1912,37,CHARLES DUMONT,202,ISOLES,546h 00' 00'',-,,,5289,15,points,1965600,0
1912,38,HENRI ALAVOINE,106,ISOLES,577h 00' 00'',-,,,5289,15,points,2077200,0
1912,39,EMILE CAUDRELIER,189,ISOLES,596h 31' 23'',-,,,5289,15,points,2147483,0
1912,40,GASTON NEBOUX,151,ISOLES,596h 31' 23'',-,,,5289,15,points,2147483,0
1912,41,MAURICE DARTIGUE,199,ISOLES,596h 31' 23'',-,,,5289,15,points,2147483,0
1913,1,PHILIPPE THYS,15,PEUGEOT,197h 54' 00'',-,,,5287,15,time,712440,0
1913,2,GUSTAVE GARRIGOU,14,PEUGEOT,198h 02' 37'',+ 00h 08' 37'',,,5287,15,time,712957,517
1913,3,MARCEL BUYSSE,12,PEUGEOT,201h 24' 55'',+ 03h 30' 55'',,,5287,15,time,725095,12655
1913,4,FIRMIN LAMBOT,38,GRIFFON,202h 06' 45'',+ 04h 12' 45'',,,5287,15,time,727605,15165
1913,5,FRANÇOIS FABER,9,PEUGEOT,204h 20' 04'',+ 06h 26' 04'',,,5287,15,time,735604,23164
1913,6,ALFONS SPIESSENS,42,JB LOUVET,205h 51' 52'',+ 07h 57' 52'',,,5287,15,time,741112,28672
1913,7,EUGÈNE CHRISTOPHE,11,PEUGEOT,212h 00' 35'',+ 14h 06' 35'',,,5287,15,time,763235,50795
1913,8,CAMILLO BERTARELLI,169,ISOLES,214h 15' 38'',+ 16h 21' 38'',,,5287,15,time,771338,58898
1913,9,JOSEPH VAN DAELE,41,JB LOUVET,214h 33' 53'',+ 16h 39' 53'',,,5287,15,time,772433,59993
1913,10,EMILE ENGEL,16,PEUGEOT,214h 46' 34'',+ 16h 52' 34'',,,5287,15,time,773194,60754
1913,11,LOUIS TROUSSELIER,47,JB LOUVET,216h 05' 30'',+ 18h 11' 30'',,,5287,15,time,777930,65490
1913,12,JULES DELOFFRE,151,ISOLES,216h 15' 31'',+ 18h 21' 31'',,,5287,15,time,778531,66091
1913,13,CLEMENTE CANEPARI,45,JB LOUVET,216h 55' 13'',+ 19h 01' 13'',,,5287,15,time,780913,68473
1913,14,PAUL DEMAN,19,AUTOMOTO,217h 11' 02'',+ 19h 17' 02'',,,5287,15,time,781862,69422
1913,15,VINCENT D'HULST,116,ISOLES,218h 04' 12'',+ 20h 10' 12'',,,5287,15,time,785052,72612
1913,16,LOUIS PETITJEAN,199,ISOLES,219h 54' 27'',+ 22h 00' 27'',,,5287,15,time,791667,79227
1913,17,PAUL HOSTEIN,13,PEUGEOT,223h 35' 06'',+ 25h 41' 06'',,,5287,15,time,804906,92466
1913,18,MAURICE LELIAERT,113,ISOLES,224h 12' 25'',+ 26h 18' 25'',,,5287,15,time,807145,94705
1913,19,JEAN ALAVOINE,10,PEUGEOT,225h 37' 47'',+ 27h 43' 47'',,,5287,15,time,812267,99827
1913,20,GIUSEPPE CONTESINI,175,ISOLES,227h 31' 34'',+ 29h 37' 34'',,,5287,15,time,819094,106654
1913,21,LOUIS COLSAET,128,ISOLES,228h 40' 50'',+ 30h 46' 50'',,,5287,15,time,823250,110810
1913,22,LUC DE SMET,129,ISOLES,252h 38' 07'',+ 54h 44' 07'',,,5287,15,time,909487,0
1913,23,CHARLES DUMONT,133,ISOLES,262h 27' 55'',+ 64h 33' 55'',,,5287,15,time,944875,0
1913,24,CELIDONIO MORINI,143,ISOLES,274h 25' 47'',+ 76h 31' 47'',,,5287,15,time,987947,0
1913,25,HENRI ALAVOINE,107,ISOLES,274h 49' 52'',+ 76h 55' 52'',,,5287,15,time,989392,0
1914,1,PHILIPPE THYS,15,PEUGEOT-WOLBER,200h 28' 48'',-,,,5380,15,time,721728,0
1914,2,HENRI PELISSIER,18,PEUGEOT-WOLBER,200h 30' 38'',+ 00h 01' 50'',,,5380,15,time,721838,110
1914,3,JEAN ALAVOINE,16,PEUGEOT-WOLBER,201h 05' 41'',+ 00h 36' 53'',,,5380,15,time,723941,2213
1914,4,JEAN ROSSIUS,5,ALCYON-SOLY,202h 25' 53'',+ 01h 57' 05'',,,5380,15,time,728753,7025
1914,5,GUSTAVE GARRIGOU,10,PEUGEOT-WOLBER,203h 29' 09'',+ 03h 00' 21'',,,5380,15,time,732549,10821
1914,6,ALFONS SPIESSENS,51,J.B. LOUVET-CONTINENTAL,204h 22' 43'',+ 03h 53' 55'',,,5380,15,time,735763,14035
1914,7,EMILE GEORGET,11,PEUGEOT-WOLBER,204h 49' 47'',+ 04h 20' 59'',,,5380,15,time,737387,15659
1914,8,FIRMIN LAMBOT,17,PEUGEOT-WOLBER,205h 37' 32'',+ 05h 08' 44'',,,5380,15,time,740252,18524
1914,9,FRANÇOIS FABER,9,PEUGEOT-WOLBER,206h 44' 41'',+ 06h 15' 53'',,,5380,15,time,744281,22553
1914,10,LOUIS HEUSGHEM,19,PEUGEOT-WOLBER,207h 17' 50'',+ 06h 49' 02'',,,5380,15,time,746270,24542
1914,11,EUGÈNE CHRISTOPHE,14,PEUGEOT-WOLBER,209h 00' 46'',+ 08h 31' 58'',,,5380,15,time,752446,30718
1914,12,"ERNEST, DIT ''FABER ERNEST'' PAUL",38,DEL,210h 11' 39'',+ 09h 42' 51'',,,5380,15,time,756699,34971
1914,13,OSCAR EGG,13,PEUGEOT-WOLBER,210h 29' 28'',+ 10h 00' 40'',,,5380,15,time,757768,36040
1914,14,LÉON SCIEUR,70,THOMANN-JOLY,210h 31' 18'',+ 10h 02' 30'',,,5380,15,time,757878,36150
1914,15,CAMILLE BOTTE,151,ISOLES,210h 43' 21'',+ 10h 14' 33'',,,5380,15,time,758601,36873
1914,16,ANGELO ERBA,60,ALLELUIA-CONTINENTAL,211h 50' 10'',+ 11h 21' 22'',,,5380,15,time,762610,40882
1914,17,DON KIRKHAM,48,PHEBUS-DUNLOP,212h 22' 27'',+ 11h 53' 39'',,,5380,15,time,764547,42819
1914,18,CHARLES KIPPERT,35,GLADIATOR-DUNLOP,212h 54' 09'',+ 12h 25' 21'',,,5380,15,time,766449,44721
1914,19,JACQUES COOMANS,71,THOMANN-JOLY,212h 55' 03'',+ 12h 26' 15'',,,5380,15,time,766503,44775
1914,20,IVOR MUNRO,49,PHEBUS-DUNLOP,213h 05' 45'',+ 12h 36' 57'',,,5380,15,time,767145,45417
1914,21,CHARLES CHARRON,40,DEL,213h 28' 11'',+ 12h 59' 23'',,,5380,15,time,768491,46763
1914,22,HENRI DEVROYE,41,ARMOR-SOLY,213h 51' 02'',+ 13h 22' 14'',,,5380,15,time,769862,48134
1914,23,MAURICE BROCCO,31,GLADIATOR-DUNLOP,215h 01' 24'',+ 14h 32' 36'',,,5380,15,time,774084,52356
1914,24,JULIEN TUYTTEN,173,ISOLES,215h 05' 02'',+ 14h 36' 14'',,,5380,15,time,774302,52574
1914,25,VICENZO BORGARELLO,42,CLEMENT-DUNLOP,215h 47' 09'',+ 15h 18' 21'',,,5380,15,time,776829,55101
1914,26,LOUIS PETITJEAN,39,DEL,216h 07' 32'',+ 15h 38' 44'',,,5380,15,time,778052,56324
1914,27,JULES NEMPON,55,J.B. LOUVET-CONTINENTAL,217h 01' 43'',+ 16h 32' 55'',,,5380,15,time,781303,59575
1914,28,RENÉ VANDENBERGHE,50,J.B. LOUVET-CONTINENTAL,217h 31' 51'',+ 17h 03' 03'',,,5380,15,time,783111,61383
1914,29,MARCEL BAUMLER,20,PEUGEOT-WOLBER,217h 34' 43'',+ 17h 05' 55'',,,5380,15,time,783283,61555
1914,30,MARCEL GODIVIER,32,GLADIATOR-DUNLOP,218h 45' 45'',+ 18h 16' 57'',,,5380,15,time,787545,65817
1914,31,PAUL DUBOC,27,AUTOMOTO-CONTINENTAL,219h 02' 20'',+ 18h 33' 32'',,,5380,15,time,788540,66812
1914,32,PIERRE EVERAERT,154,ISOLES,219h 47' 52'',+ 19h 19' 04'',,,5380,15,time,791272,69544
1914,33,OTTAVIO PRATESI,197,ISOLES,220h 58' 28'',+ 20h 29' 40'',,,5380,15,time,795508,73780
1914,34,CONSTANT MENAGER,33,GLADIATOR-DUNLOP,221h 25' 33'',+ 20h 56' 45'',,,5380,15,time,797133,75405
1914,35,CHARLES CRUCHON,34,GLADIATOR-DUNLOP,221h 33' 44'',+ 21h 04' 56'',,,5380,15,time,797624,75896
1914,36,JULES DELOFFRE,124,ISOLES,222h 32' 03'',+ 22h 03' 15'',,,5380,15,time,801123,79395
1914,37,CAMILLO BERTARELLI,57,ALLELUIA-CONTINENTAL,223h 37' 14'',+ 23h 08' 26'',,,5380,15,time,805034,83306
1914,38,LOUIS TROUSSELIER,28,AUTOMOTO-CONTINENTAL,224h 14' 18'',+ 23h 45' 30'',,,5380,15,time,807258,85530
1914,39,ADRIEN ALPINI,110,ISOLES,226h 41' 10'',+ 26h 12' 22'',,,5380,15,time,816070,94342
1914,40,GASTON DEGY,26,AUTOMOTO-CONTINENTAL,220h 34' 42'',+ 20h 05' 54'',,,5380,15,time,794082,72354
1914,41,RAYMOND HARQUET,59,ALLELUIA-CONTINENTAL,230h 32' 53'',+ 30h 04' 05'',,,5380,15,time,829973,108245
1914,42,LOUIS ENGEL,37,DEL,231h 23' 11'',+ 30h 54' 23'',,,5380,15,time,832991,111263
1914,43,EMILE GUYON,123,ISOLES,231h 23' 53'',+ 30h 55' 05'',,,5380,15,time,833033,111305
1914,44,MARIO SPINELLI,179,ISOLES,235h 42' 23'',+ 35h 13' 35'',,,5380,15,time,848543,126815
1914,46,CHARLES DUMONT,113,ISOLES,238h 11' 19'',+ 37h 42' 31'',,,5380,15,time,857479,135751
1914,47,RENÉ COTTREL,135,ISOLES,247h 57' 54'',+ 47h 29' 06'',,,5380,15,time,892674,170946
1914,48,SANTE GOI,189,ISOLES,252h 44' 20'',+ 52h 15' 32'',,,5380,15,time,909860,0
1914,49,EDUARDO CUCHETTI,161,ISOLES,250h 49' 04'',+ 50h 20' 16'',,,5380,15,time,902944,0
1914,50,GASTON NEBOUX,165,ISOLES,260h 27' 49'',+ 59h 59' 01'',,,5380,15,time,937669,0
1914,51,HENRY ALLARD,141,ISOLES,268h 15' 12'',+ 67h 46' 24'',,,5380,15,time,965712,0
1914,52,HENRI ALAVOINE,104,ISOLES,274h 24' 09'',+ 73h 55' 21'',,,5380,15,time,987849,0
1914,53,MARCEL ROTTIE,114,ISOLES,284h 31' 58'',+ 84h 03' 10'',,,5380,15,time,1024318,0
1914,54,HENRI LECLERC,138,ISOLES,299h 33' 33'',+ 99h 04' 45'',,,5380,15,time,1078413,0
1919,1,FIRMIN LAMBOT,45,TDF 1919 ***,231h 07' 15'',-,,,5560,15,time,832035,0
1919,2,JEAN ALAVOINE,42,TDF 1919 ***,232h 50' 09'',+ 01h 42' 54'',,,5560,15,time,838209,6174
1919,3,EUGÈNE CHRISTOPHE,46,TDF 1919 ***,233h 33' 46'',+ 02h 26' 31'',,,5560,15,time,840826,8791
1919,4,LÉON SCIEUR,57,TDF 1919 ***,233h 59' 30'',+ 02h 52' 15'',,,5560,15,time,842370,10335
1919,5,HONORÉ BARTHELEMY,49,TDF 1919 ***,235h 21' 37'',+ 04h 14' 22'',,,5560,15,time,847297,15262
1919,6,JACQUES COOMANS,63,TDF 1919 ***,246h 28' 49'',+ 15h 21' 34'',,,5560,15,time,887329,55294
1919,7,LUIGI LUCOTTI,19,TDF 1919 ***,247h 08' 27'',+ 16h 01' 12'',,,5560,15,time,889707,57672
1919,8,JOSEPH VAN DAELE,55,TDF 1919 ***,249h 30' 17'',+ 18h 23' 02'',,,5560,15,time,898217,66182
1919,9,ALFRED STEUX,56,TDF 1919 ***,251h 36' 16'',+ 20h 29' 01'',,,5560,15,time,905776,73741
1919,10,JULES NEMPON,151,TDF 1919 ***,252h 51' 27'',+ 21h 44' 12'',,,5560,15,time,910287,78252
1920,1,PHILIPPE THYS,15,TDF 1920 ***,228h 36' 13'',-,,,5503,15,time,822973,0
1920,2,HECTOR HEUSGHEM,30,TDF 1920 ***,229h 33' 34'',+ 00h 57' 21'',,,5503,15,time,826414,3441
1920,3,FIRMIN LAMBOT,2,TDF 1920 ***,230h 10' 43'',+ 01h 34' 30'',,,5503,15,time,828643,5670
1920,4,LÉON SCIEUR,13,TDF 1920 ***,230h 16' 06'',+ 01h 39' 53'',,,5503,15,time,828966,5993
1920,5,EMILE ''SENIOR'' MASSON,14,TDF 1920 ***,231h 28' 00'',+ 02h 51' 47'',,,5503,15,time,833280,10307
1920,6,LOUIS HEUSGHEM,6,TDF 1920 ***,232h 17' 00'',+ 03h 40' 47'',,,5503,15,time,836220,13247
1920,7,JEAN ROSSIUS,11,TDF 1920 ***,232h 26' 08'',+ 03h 49' 55'',,,5503,15,time,836768,13795
1920,8,HONORÉ BARTHELEMY,3,TDF 1920 ***,234h 11' 32'',+ 05h 35' 19'',,,5503,15,time,843092,20119
1920,9,FÉLIX GOETHALS,24,TDF 1920 ***,237h 59' 20'',+ 09h 23' 07'',,,5503,15,time,856760,33787
1920,10,JOSEPH VAN DAELE,8,TDF 1920 ***,239h 21' 54'',+ 10h 45' 41'',,,5503,15,time,861714,38741
1920,11,EUGÈNE DHERS,32,TDF 1920 ***,239h 51' 22'',+ 11h 15' 09'',,,5503,15,time,863482,40509
1920,12,JOSÉ PELLETIER,145,TDF 1920 ***,248h 40' 45'',+ 20h 04' 32'',,,5503,15,time,895245,72272
1920,13,THÉO WYNSDAU,201,TDF 1920 ***,253h 50' 15'',+ 25h 14' 02'',,,5503,15,time,913815,90842
1920,14,NOËL AMENC,162,TDF 1920 ***,262h 02' 00'',+ 33h 25' 47'',,,5503,15,time,943320,120347
1920,15,JOSEPH MULLER,118,TDF 1920 ***,262h 25' 06'',+ 33h 48' 53'',,,5503,15,time,944706,121733
1920,16,HENRI FERRARA,161,TDF 1920 ***,263h 08' 40'',+ 34h 32' 27'',,,5503,15,time,947320,124347
1920,17,GUILLAUME CECHERELLI,115,TDF 1920 ***,277h 16' 48'',+ 48h 40' 35'',,,5503,15,time,998208,175235
1920,18,MARIUS MATHERON,143,TDF 1920 ***,279h 47' 17'',+ 51h 11' 04'',,,5503,15,time,1007237,0
1920,19,ETIENNE DORFEUILLE,112,TDF 1920 ***,281h 46' 13'',+ 53h 10' 00'',,,5503,15,time,1014373,0
1920,20,PIERRE HUDSYN,188,TDF 1920 ***,284h 12' 25'',+ 55h 36' 12'',,,5503,15,time,1023145,0
1920,21,ANDRÉ COUTTE,190,TDF 1920 ***,284h 34' 01'',+ 55h 57' 48'',,,5503,15,time,1024441,0
1920,22,CHARLES RABOISON,138,TDF 1920 ***,297h 36' 18'',+ 69h 00' 05'',,,5503,15,time,1071378,0
1921,1,LÉON SCIEUR,19,TDF 1921 ***,221h 50' 26'',-,,,5485,15,time,798626,0
1921,2,HECTOR HEUSGHEM,3,TDF 1921 ***,222h 09' 02'',+ 00h 18' 36'',,,5485,15,time,799742,1116
1921,4,LUIGI LUCOTTI,25,TDF 1921 ***,224h 29' 44'',+ 02h 39' 18'',,,5485,15,time,808184,9558
1921,5,HECTOR TIBERGHEN,12,TDF 1921 ***,226h 23' 45'',+ 04h 33' 19'',,,5485,15,time,815025,16399
1921,6,VICTOR LEENAERTS,139,TDF 1921 ***,226h 43' 49'',+ 04h 53' 23'',,,5485,15,time,816229,17603
1921,7,LÉON DESPONTIN,126,TDF 1921 ***,226h 52' 20'',+ 05h 01' 54'',,,5485,15,time,816740,18114
1921,8,CAMILLE LEROY,181,TDF 1921 ***,229h 46' 53'',+ 07h 56' 27'',,,5485,15,time,827213,28587
1921,9,FIRMIN LAMBOT,4,TDF 1921 ***,230h 16' 51'',+ 08h 26' 25'',,,5485,15,time,829011,30385
1921,10,FÉLIX GOETHALS,10,TDF 1921 ***,230h 32' 52'',+ 08h 42' 26'',,,5485,15,time,829972,31346
1921,11,LOUIS MOTTIAT,7,TDF 1921 ***,230h 41' 50'',+ 08h 51' 24'',,,5485,15,time,830510,31884
1921,12,EUGÈNE DHERS,105,TDF 1921 ***,231h 35' 02'',+ 09h 44' 36'',,,5485,15,time,833702,35076
1921,13,HENRI FERRARA,140,TDF 1921 ***,233h 49' 00'',+ 11h 58' 34'',,,5485,15,time,841740,43114
1921,14,NOËL AMENC,141,TDF 1921 ***,234h 27' 49'',+ 12h 37' 23'',,,5485,15,time,844069,45443
1921,15,JOSEPH MULLER,210,TDF 1921 ***,234h 27' 49'',+ 12h 37' 23'',,,5485,15,time,844069,45443
1921,16,FÉLIX SELLIER,110,TDF 1921 ***,235h 47' 11'',+ 13h 56' 45'',,,5485,15,time,848831,50205
1921,17,HENRI COLLE,218,TDF 1921 ***,236h 52' 48'',+ 15h 02' 22'',,,5485,15,time,852768,54142
1921,18,ENRICO SALA,186,TDF 1921 ***,240h 59' 44'',+ 19h 09' 18'',,,5485,15,time,867584,68958
1921,19,GUILLAUME CECHERELLI,133,TDF 1921 ***,244h 39' 38'',+ 22h 49' 12'',,,5485,15,time,880778,82152
1921,20,AUGUSTE MEYER,173,TDF 1921 ***,244h 44' 10'',+ 22h 53' 44'',,,5485,15,time,881050,82424
1921,21,BENJAMIN JAVAUX,174,TDF 1921 ***,247h 16' 00'',+ 25h 25' 34'',,,5485,15,time,890160,91534
1921,22,PIERRE HUDSYN,117,TDF 1921 ***,248h 44' 10'',+ 26h 53' 44'',,,5485,15,time,895450,96824
1921,23,JOSEPH NORMAND,162,TDF 1921 ***,249h 56' 06'',+ 28h 05' 40'',,,5485,15,time,899766,101140
1921,24,ETIENNE DORFEUILLE,138,TDF 1921 ***,249h 58' 10'',+ 28h 07' 44'',,,5485,15,time,899890,101264
1921,25,CHARLES RABOISON,183,TDF 1921 ***,250h 48' 58'',+ 28h 58' 32'',,,5485,15,time,902938,104312
1921,26,JULES DELOFFRE,123,TDF 1921 ***,254h 01' 14'',+ 32h 10' 48'',,,5485,15,time,914474,115848
1921,27,"ERNEST, DIT ''FABER ERNEST'' PAUL",159,TDF 1921 ***,255h 18' 00'',+ 33h 27' 34'',,,5485,15,time,919080,120454
1921,28,EDGARD ROY,111,TDF 1921 ***,255h 34' 41'',+ 33h 44' 15'',,,5485,15,time,920081,121455
1921,29,CHARLES PAREL,200,TDF 1921 ***,256h 19' 34'',+ 34h 29' 08'',,,5485,15,time,922774,124148
1921,30,PAUL COPPENS,103,TDF 1921 ***,223h 48' 11'',+ 01h 57' 45'',,,5485,15,time,805691,7065
1921,31,JEAN KIENLEN,128,TDF 1921 ***,258h 08' 32'',+ 36h 18' 06'',,,5485,15,time,929312,130686
1921,32,LUCIEN POTHIER,124,TDF 1921 ***,263h 35' 37'',+ 41h 45' 11'',,,5485,15,time,948937,150311
1921,33,LUCIEN ROQUEBERT,146,TDF 1921 ***,271h 27' 51'',+ 49h 37' 25'',,,5485,15,time,977271,178645
1921,34,ROBERT CONSTANTIN,109,TDF 1921 ***,278h 58' 05'',+ 57h 07' 39'',,,5485,15,time,1004285,0
1921,35,CHARLES CENTO,115,TDF 1921 ***,279h 31' 51'',+ 57h 41' 25'',,,5485,15,time,1006311,0
1921,36,GEORGES KAMM,154,TDF 1921 ***,279h 50' 35'',+ 58h 00' 09'',,,5485,15,time,1007435,0
1921,37,ADRIEN ALPINI,144,TDF 1921 ***,282h 25' 22'',+ 60h 34' 56'',,,5485,15,time,1016722,0
1921,38,HENRI CATELAN,104,TDF 1921 ***,284h 10' 23'',+ 62h 19' 57'',,,5485,15,time,1023023,0
1922,1,FIRMIN LAMBOT,13,TDF 1922 ***,222h 08' 06'',-,,,5375,15,time,799686,0
1922,2,JEAN ALAVOINE,9,TDF 1922 ***,222h 49' 21'',+ 00h 41' 15'',,,5375,15,time,802161,2475
1922,3,FÉLIX SELLIER,22,TDF 1922 ***,222h 50' 08'',+ 00h 42' 02'',,,5375,15,time,802208,2522
1922,4,HECTOR HEUSGHEM,23,TDF 1922 ***,222h 52' 02'',+ 00h 43' 56'',,,5375,15,time,802322,2636
1922,5,VICTOR LEENAERTS,8,TDF 1922 ***,222h 53' 38'',+ 00h 45' 32'',,,5375,15,time,802418,2732
1922,6,HECTOR TIBERGHEN,12,TDF 1922 ***,223h 29' 41'',+ 01h 21' 35'',,,5375,15,time,804581,4895
1922,7,LÉON DESPONTIN,14,TDF 1922 ***,224h 32' 35'',+ 02h 24' 29'',,,5375,15,time,808355,8669
1922,8,EUGÈNE CHRISTOPHE,5,TDF 1922 ***,225h 33' 45'',+ 03h 25' 39'',,,5375,15,time,812025,12339
1922,9,JEAN ROSSIUS,2,TDF 1922 ***,225h 34' 12'',+ 03h 26' 06'',,,5375,15,time,812052,12366
1922,10,FEDERICO GAY,27,TDF 1922 ***,226h 00' 05'',+ 03h 51' 59'',,,5375,15,time,813605,13919
1922,11,EMILE ''SENIOR'' MASSON,21,TDF 1922 ***,226h 08' 27'',+ 04h 00' 21'',,,5375,15,time,814107,14421
1922,12,GASTON DEGY,17,TDF 1922 ***,226h 57' 19'',+ 04h 49' 13'',,,5375,15,time,817039,17353
1922,13,ARSÈNE ALANCOURT,28,TDF 1922 ***,227h 29' 02'',+ 05h 20' 56'',,,5375,15,time,818942,19256
1922,14,PHILIPPE THYS,15,TDF 1922 ***,227h 57' 04'',+ 05h 48' 58'',,,5375,15,time,820624,20938
1922,15,JOSÉ PELLETIER,110,TDF 1922 ***,228h 01' 35'',+ 05h 53' 29'',,,5375,15,time,820895,21209
1922,16,JOSEPH MULLER,19,TDF 1922 ***,229h 59' 29'',+ 07h 51' 23'',,,5375,15,time,827969,28283
1922,17,GIUSEPPE SANTHIA,190,TDF 1922 ***,230h 05' 29'',+ 07h 57' 23'',,,5375,15,time,828329,28643
1922,18,THÉOPHILE BEECKMAN,166,TDF 1922 ***,231h 11' 41'',+ 09h 03' 35'',,,5375,15,time,832301,32615
1922,19,LOUIS HEUSGHEM,18,TDF 1922 ***,231h 58' 40'',+ 09h 50' 34'',,,5375,15,time,835120,35434
1922,20,JULES NEMPON,124,TDF 1922 ***,233h 20' 02'',+ 11h 11' 56'',,,5375,15,time,840002,40316
1922,21,ALFONS STANDAERT,187,TDF 1922 ***,233h 36' 52'',+ 11h 28' 46'',,,5375,15,time,841012,41326
1922,22,EDGARD ROY,105,TDF 1922 ***,236h 37' 07'',+ 14h 29' 01'',,,5375,15,time,851827,52141
