Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
75,PIERRE MATIGNON,118,GITANE,110h 48' 25'',+ 02h 31' 07'',,,1972,398905,9067,time
76,RÉGIS DELEPINE,68,GAN-MERCIER-HUTCHINSON,110h 51' 47'',+ 02h 34' 29'',,,1972,399107,9269,time
77,NOËL VAN CLOOSTER,129,WATNEY-AVIA,110h 53' 39'',+ 02h 36' 21'',,,1972,399219,9381,time
78,JAN KREKELS,103,GOUDSMIT-HOFF,110h 54' 14'',+ 02h 36' 56'',,,1972,399254,9416,time
79,PIETER NASSEN,125,WATNEY-AVIA,110h 56' 07'',+ 02h 38' 49'',,,1972,399367,9529,time
80,RIK VAN LINDEN,54,DE GRIBALDY-MAGNIFLEX-VAN CAUTER,110h 56' 39'',+ 02h 39' 21'',,,1972,399399,9561,time
81,BERNARD GUYOT,24,SONOLOR,110h 56' 44'',+ 02h 39' 26'',,,1972,399404,9566,time
82,MARINO BASSO,89,SALVARANI,111h 02' 05'',+ 02h 44' 47'',,,1972,399725,9887,time
83,EVERT DOLMAN,16,BEAULIEU-FLANDRIA,111h 03' 51'',+ 02h 46' 33'',,,1972,399831,9993,time
84,LÉON-PAUL MENARD,119,GITANE,111h 03' 56'',+ 02h 46' 38'',,,1972,399836,9998,time
85,LUIGI CASTELLETTI,91,SALVARANI,111h 05' 27'',+ 02h 48' 09'',,,1972,399927,10089,time
86,PIETRO GUERRA,94,SALVARANI,111h 09' 52'',+ 02h 52' 34'',,,1972,400192,10354,time
87,ROBERT MINTKIEWICZ,26,SONOLOR,111h 24' 59'',+ 03h 07' 41'',,,1972,401099,11261,time
88,ALAIN BELLOUIS,111,GITANE,112h 20' 51'',+ 04h 03' 33'',,,1972,404451,14613,time
1,LUIS OCANA,51,BIC,122h 25' 34'',-,,,1973,440734,0,time
2,BERNARD THEVENET,43,PEUGEOT-BP,122h 41' 25'',+ 00h 15' 51'',,,1973,441685,951,time
3,JOSE-MANUEL FUENTE,112,KAS,122h 42' 49'',+ 00h 17' 15'',,,1973,441769,1035,time
4,JOOP ZOETEMELK,88,GITANE-FRIGECREME,122h 51' 56'',+ 00h 26' 22'',,,1973,442316,1582,time
5,LUCIEN VAN IMPE,21,SONOLOR,122h 55' 54'',+ 00h 30' 20'',,,1973,442554,1820,time
6,HERMAN VANSPRINGEL,76,ROKADO,122h 57' 35'',+ 00h 32' 01'',,,1973,442655,1921,time
7,MICHEL PERIN,11,GAN-MERCIER,122h 58' 36'',+ 00h 33' 02'',,,1973,442716,1982,time
8,JOAQUIM AGOSTINHO,45,BIC,123h 01' 25'',+ 00h 35' 51'',,,1973,442885,2151,time
9,VICENTE LOPEZ-CARRIL,117,KAS,123h 01' 52'',+ 00h 36' 18'',,,1973,442912,2178,time
10,RÉGIS OVION,40,PEUGEOT-BP,123h 02' 33'',+ 00h 36' 59'',,,1973,442953,2219,time
11,RAYMOND DELISLE,36,PEUGEOT-BP,123h 03' 17'',+ 00h 37' 43'',,,1973,442997,2263,time
12,MARIANO MARTINEZ,8,GAN-MERCIER,123h 06' 23'',+ 00h 40' 49'',,,1973,443183,2449,time
13,PEDRO TORRES,130,LA CASERA-BAHAMONTES,123h 13' 04'',+ 00h 47' 30'',,,1973,443584,2850,time
14,JOSÉ CATIEAU,47,BIC,123h 14' 46'',+ 00h 49' 12'',,,1973,443686,2952,time
15,ANTONIO MARTOS,118,KAS,123h 14' 54'',+ 00h 49' 20'',,,1973,443694,2960,time
16,TONY HOUBRECHTS,70,ROKADO,123h 15' 12'',+ 00h 49' 38'',,,1973,443712,2978,time
17,LUCIEN AIMAR,100,DE KOVA-LEJEUNE,123h 15' 28'',+ 00h 49' 54'',,,1973,443728,2994,time
18,FERNANDO MENDES,30,CARPENTER-SHIMANO-FLANDRIA,123h 16' 56'',+ 00h 51' 22'',,,1973,443816,3082,time
19,LEIF MORTENSEN,50,BIC,123h 17' 52'',+ 00h 52' 18'',,,1973,443872,3138,time
20,FRANCISCO GALDOS,113,KAS,123h 18' 39'',+ 00h 53' 05'',,,1973,443919,3185,time
21,BERNARD LABOURDETTE,49,BIC,123h 29' 23'',+ 01h 03' 49'',,,1973,444563,3829,time
22,JEAN-PIERRE DANGUILLAUME,35,PEUGEOT-BP,123h 33' 15'',+ 01h 07' 41'',,,1973,444795,4061,time
23,LUIS ZUBERO,121,KAS,123h 43' 23'',+ 01h 17' 49'',,,1973,445403,4669,time
24,RONALD DE WITTE,27,CARPENTER-SHIMANO-FLANDRIA,123h 44' 52'',+ 01h 19' 18'',,,1973,445492,4758,time
25,LUIS BALAGUE,123,LA CASERA-BAHAMONTES,123h 45' 45'',+ 01h 20' 11'',,,1973,445545,4811,time
26,RENÉ GRELIN,4,GAN-MERCIER,123h 46' 07'',+ 01h 20' 33'',,,1973,445567,4833,time
27,JEAN-CLAUDE GENTY,48,BIC,123h 46' 40'',+ 01h 21' 06'',,,1973,445600,4866,time
28,ROLAND BERLAND,46,BIC,123h 47' 41'',+ 01h 22' 07'',,,1973,445661,4927,time
29,SANTIAGO LAZCANO,116,KAS,123h 51' 01'',+ 01h 25' 27'',,,1973,445861,5127,time
30,PIERRE MARTELOZZO,38,PEUGEOT-BP,123h 52' 25'',+ 01h 26' 51'',,,1973,445945,5211,time
31,ALAIN SANTY,52,BIC,123h 54' 53'',+ 01h 29' 19'',,,1973,446093,5359,time
32,JOHNNY SCHLECK,54,BIC,123h 59' 40'',+ 01h 34' 06'',,,1973,446380,5646,time
33,JOSÉ MARTINS FREITAS,93,CANADA DRY-GAZELLE,124h 00' 10'',+ 01h 34' 36'',,,1973,446410,5676,time
34,MICHEL POLLENTIER,31,CARPENTER-SHIMANO-FLANDRIA,124h 01' 37'',+ 01h 36' 03'',,,1973,446497,5763,time
35,RAYMOND MARTIN,83,GITANE-FRIGECREME,124h 01' 44'',+ 01h 36' 10'',,,1973,446504,5770,time
36,CHARLY ROUXEL,42,PEUGEOT-BP,124h 13' 16'',+ 01h 47' 42'',,,1973,447196,6462,time
37,JÜRGEN TSCHAN,44,PEUGEOT-BP,124h 14' 54'',+ 01h 49' 20'',,,1973,447294,6560,time
38,DAMASO TORRES,129,LA CASERA-BAHAMONTES,124h 14' 57'',+ 01h 49' 23'',,,1973,447297,6563,time
39,JÉSUS MANZANEQUE,127,LA CASERA-BAHAMONTES,124h 17' 14'',+ 01h 51' 40'',,,1973,447434,6700,time
40,ANTONIO MENENDEZ,120,KAS,124h 21' 32'',+ 01h 55' 58'',,,1973,447692,6958,time
41,CARLOS MELERO,119,KAS,124h 23' 41'',+ 01h 58' 07'',,,1973,447821,7087,time
42,FERDINAND JULIEN,81,GITANE-FRIGECREME,124h 26' 46'',+ 02h 01' 12'',,,1973,448006,7272,time
43,BARRY HOBAN,7,GAN-MERCIER,124h 28' 34'',+ 02h 03' 00'',,,1973,448114,7380,time
44,MARCEL BOISHARDY,104,DE KOVA-LEJEUNE,124h 29' 12'',+ 02h 03' 38'',,,1973,448152,7418,time
45,HERCULANO OLIVEIRA,95,CANADA DRY-GAZELLE,124h 30' 47'',+ 02h 05' 13'',,,1973,448247,7513,time
46,JEAN-PIERRE GENET,3,GAN-MERCIER,124h 32' 48'',+ 02h 07' 14'',,,1973,448368,7634,time
47,JOSÉ-ANTONIO GONZALEZ-LINARES,114,KAS,124h 33' 41'',+ 02h 08' 07'',,,1973,448421,7687,time
48,CLAUDE TOLLET,20,SONOLOR,124h 34' 38'',+ 02h 09' 04'',,,1973,448478,7744,time
49,JEAN-CLAUDE LARGEAU,82,GITANE-FRIGECREME,124h 34' 56'',+ 02h 09' 22'',,,1973,448496,7762,time
50,JOSÉ GRANDE,115,KAS,124h 35' 14'',+ 02h 09' 40'',,,1973,448514,7780,time
51,MICHEL ROQUES,17,SONOLOR,124h 36' 15'',+ 02h 10' 41'',,,1973,448575,7841,time
52,ALBERT VAN VLIERBERGHE,77,ROKADO,124h 38' 36'',+ 02h 13' 02'',,,1973,448716,7982,time
53,SYLVAIN VASSEUR,55,BIC,124h 39' 30'',+ 02h 13' 56'',,,1973,448770,8036,time
54,JÉSUS ESPERANZA,124,LA CASERA-BAHAMONTES,124h 40' 23'',+ 02h 14' 49'',,,1973,448823,8089,time
55,DANIEL DUCREUX,28,CARPENTER-SHIMANO-FLANDRIA,124h 40' 55'',+ 02h 15' 21'',,,1973,448855,8121,time
56,ROBERT BOULOUX,34,PEUGEOT-BP,124h 41' 29'',+ 02h 15' 55'',,,1973,448889,8155,time
57,MICHAËL WRIGHT,87,GITANE-FRIGECREME,124h 48' 55'',+ 02h 23' 21'',,,1973,449335,8601,time
58,CHRISTIAN BLAIN,102,DE KOVA-LEJEUNE,124h 49' 09'',+ 02h 23' 35'',,,1973,449349,8615,time
59,GÉRARD VIANEN,86,GITANE-FRIGECREME,124h 49' 55'',+ 02h 24' 21'',,,1973,449395,8661,time
60,WILLY TEIRLINCK,19,SONOLOR,124h 50' 18'',+ 02h 24' 44'',,,1973,449418,8684,time
61,GÉRARD BESNARD,12,SONOLOR,124h 53' 59'',+ 02h 28' 25'',,,1973,449639,8905,time
62,JEAN JACQUES SANQUER,32,CARPENTER-SHIMANO-FLANDRIA,124h 54' 39'',+ 02h 29' 05'',,,1973,449679,8945,time
63,ALAIN NOGUES,85,GITANE-FRIGECREME,124h 58' 15'',+ 02h 32' 41'',,,1973,449895,9161,time
64,JOAQUIM ANDRADE,78,GITANE-FRIGECREME,124h 59' 41'',+ 02h 34' 07'',,,1973,449981,9247,time
65,WALTER GODEFROOT,29,CARPENTER-SHIMANO-FLANDRIA,125h 00' 23'',+ 02h 34' 49'',,,1973,450023,9289,time
66,GUSTAVE VAN ROESBROECK,75,ROKADO,125h 03' 36'',+ 02h 38' 02'',,,1973,450216,9482,time
67,CHARLY GROSSKOST,5,GAN-MERCIER,125h 04' 16'',+ 02h 38' 42'',,,1973,450256,9522,time
68,JACQUES ESCLASSAN,37,PEUGEOT-BP,125h 07' 37'',+ 02h 42' 03'',,,1973,450457,9723,time
69,ANDRÉ MOLLET,39,PEUGEOT-BP,125h 08' 39'',+ 02h 43' 05'',,,1973,450519,9785,time
70,THÉO VAN DER LEEUW,98,CANADA DRY-GAZELLE,125h 09' 12'',+ 02h 43' 38'',,,1973,450552,9818,time
71,JACQUES BOTHEREL,13,SONOLOR,125h 11' 19'',+ 02h 45' 45'',,,1973,450679,9945,time
72,MARC DEMEYER,26,CARPENTER-SHIMANO-FLANDRIA,125h 11' 42'',+ 02h 46' 08'',,,1973,450702,9968,time
73,FRANCIS CAMPANER,80,GITANE-FRIGECREME,125h 12' 55'',+ 02h 47' 21'',,,1973,450775,10041,time
74,WILFRIED DAVID,23,CARPENTER-SHIMANO-FLANDRIA,125h 16' 07'',+ 02h 50' 33'',,,1973,450967,10233,time
75,JAN KREKELS,92,CANADA DRY-GAZELLE,125h 20' 13'',+ 02h 54' 39'',,,1973,451213,10479,time
76,JACKY MOURIOUX,10,GAN-MERCIER,125h 24' 55'',+ 02h 59' 21'',,,1973,451495,10761,time
77,GUY SANTY,53,BIC,122h 30' 33'',+ 00h 04' 59'',,,1973,441033,299,time
78,RAYMOND RIOTTE,16,SONOLOR,125h 29' 58'',+ 03h 04' 24'',,,1973,451798,11064,time
79,GÉRARD MONEYRON,9,GAN-MERCIER,125h 30' 54'',+ 03h 05' 20'',,,1973,451854,11120,time
80,ROBERT MINTKIEWICZ,15,SONOLOR,125h 33' 30'',+ 03h 07' 56'',,,1973,452010,11276,time
81,ALFRED GAIDA,68,ROKADO,125h 37' 55'',+ 03h 12' 21'',,,1973,452275,11541,time
82,RÉGIS DELEPINE,2,GAN-MERCIER,125h 39' 35'',+ 03h 14' 01'',,,1973,452375,11641,time
83,CHARLES GENTHON,108,DE KOVA-LEJEUNE,125h 07' 54'',+ 02h 42' 20'',,,1973,450474,9740,time
84,NOËL GENESTE,107,DE KOVA-LEJEUNE,125h 43' 05'',+ 03h 17' 31'',,,1973,452585,11851,time
85,JEAN-CLAUDE BAUD,101,DE KOVA-LEJEUNE,125h 58' 43'',+ 03h 33' 09'',,,1973,453523,12789,time
86,JEAN-CLAUDE BLOCHER,103,DE KOVA-LEJEUNE,126h 03' 30'',+ 03h 37' 56'',,,1973,453810,13076,time
87,JACQUES HOCHART,109,DE KOVA-LEJEUNE,126h 17' 43'',+ 03h 52' 09'',,,1973,454663,13929,time
1,EDDY MERCKX,1,MOLTENI,116h 16' 58'',-,,,1974,418618,0,time
2,RAYMOND POULIDOR,61,GAN-MERCIER,116h 25' 02'',+ 00h 08' 04'',,,1974,419102,484,time
3,VICENTE LOPEZ-CARRIL,34,KAS,116h 25' 02'',+ 00h 08' 04'',,,1974,419102,484,time
4,WLADIMIRO PANIZZA,91,BROOKLYN,116h 27' 57'',+ 00h 10' 59'',,,1974,419277,659,time
5,GONZALO AJA,32,KAS,116h 28' 22'',+ 00h 11' 24'',,,1974,419302,684,time
6,JOAQUIM AGOSTINHO,11,BIC,116h 31' 22'',+ 00h 14' 24'',,,1974,419482,864,time
7,MICHEL POLLENTIER,116,CARPENTER-CONFORTLUXE,116h 33' 32'',+ 00h 16' 34'',,,1974,419612,994,time
8,MARIANO MARTINEZ,44,SONOLOR-GITANE,116h 35' 31'',+ 00h 18' 33'',,,1974,419731,1113,time
9,ALAIN SANTY,69,GAN-MERCIER,116h 36' 53'',+ 00h 19' 55'',,,1974,419813,1195,time
10,HERMAN VANSPRINGEL,51,MIC-DE GRIBALDY-LUDO,116h 41' 09'',+ 00h 24' 11'',,,1974,420069,1451,time
11,ROGER PINGEON,101,LEJEUNE-JOBO,116h 43' 48'',+ 00h 26' 50'',,,1974,420228,1610,time
12,RAYMOND DELISLE,24,PEUGEOT-BP,116h 45' 57'',+ 00h 28' 59'',,,1974,420357,1739,time
13,JEAN-PIERRE DANGUILLAUME,23,PEUGEOT-BP,116h 46' 41'',+ 00h 29' 43'',,,1974,420401,1783,time
14,JUAN ZURANO,80,LA CASERA-BAHAMONTES,116h 47' 18'',+ 00h 30' 20'',,,1974,420438,1820,time
15,ANDRÉ ROMERO,110,LEJEUNE-JOBO,116h 48' 33'',+ 00h 31' 35'',,,1974,420513,1895,time
16,MICHEL PERIN,67,GAN-MERCIER,116h 48' 55'',+ 00h 31' 57'',,,1974,420535,1917,time
17,MIGUEL-MARIA LASA,31,KAS,116h 49' 53'',+ 00h 32' 55'',,,1974,420593,1975,time
18,LUCIEN VAN IMPE,41,SONOLOR-GITANE,116h 54' 33'',+ 00h 37' 35'',,,1974,420873,2255,time
19,ANDRES OLIVA,75,LA CASERA-BAHAMONTES,116h 54' 46'',+ 00h 37' 48'',,,1974,420886,2268,time
20,BERNARD LABOURDETTE,16,BIC,116h 55' 00'',+ 00h 38' 02'',,,1974,420900,2282,time
21,JOSEPH BRUYERE,2,MOLTENI,116h 58' 29'',+ 00h 41' 31'',,,1974,421109,2491,time
22,WARD Jansens,6,MOLTENI,117h 01' 48'',+ 00h 44' 50'',,,1974,421308,2690,time
23,FAUSTO BERTOGLIO,93,BROOKLYN,117h 02' 41'',+ 00h 45' 43'',,,1974,421361,2743,time
24,WILLY VAN NESTE,49,SONOLOR-GITANE,117h 03' 48'',+ 00h 46' 50'',,,1974,421428,2810,time
25,RONALD DE WITTE,111,CARPENTER-CONFORTLUXE,117h 04' 08'',+ 00h 47' 10'',,,1974,421448,2830,time
26,GIANCARLO BELLINI,92,BROOKLYN,117h 04' 44'',+ 00h 47' 46'',,,1974,421484,2866,time
27,FEDOR DEN HERTOG,121,FRISOL,117h 07' 26'',+ 00h 50' 28'',,,1974,421646,3028,time
28,JOSÉ CATIEAU,13,BIC,117h 08' 09'',+ 00h 51' 11'',,,1974,421689,3071,time
29,JOSÉ PESARRODONA,39,KAS,117h 10' 42'',+ 00h 53' 44'',,,1974,421842,3224,time
30,GEORGES PINTENS,55,MIC-DE GRIBALDY-LUDO,117h 13' 41'',+ 00h 56' 43'',,,1974,422021,3403,time
31,JOËL MILLARD,85,FLANDRIA-SHIMANO-MERLIN PLAGE,117h 14' 06'',+ 00h 57' 08'',,,1974,422046,3428,time
32,FERDINAND JULIEN,43,SONOLOR-GITANE,117h 17' 04'',+ 01h 00' 06'',,,1974,422224,3606,time
33,ROLAND BERLAND,12,BIC,117h 18' 11'',+ 01h 01' 13'',,,1974,422291,3673,time
34,RÉGIS OVION,27,PEUGEOT-BP,117h 22' 20'',+ 01h 05' 22'',,,1974,422540,3922,time
35,MARC LIEVENS,7,MOLTENI,117h 26' 14'',+ 01h 09' 16'',,,1974,422774,4156,time
36,VICTOR VAN SCHIL,10,MOLTENI,117h 29' 45'',+ 01h 12' 47'',,,1974,422985,4367,time
37,BARRY HOBAN,64,GAN-MERCIER,117h 30' 09'',+ 01h 13' 11'',,,1974,423009,4391,time
38,GERRIE KNETEMANN,65,GAN-MERCIER,117h 31' 13'',+ 01h 14' 15'',,,1974,423073,4455,time
39,FRANCIS CAMPANER,104,LEJEUNE-JOBO,117h 33' 17'',+ 01h 16' 19'',,,1974,423197,4579,time
40,ANTONIO MARTOS,35,KAS,117h 35' 00'',+ 01h 18' 02'',,,1974,423300,4682,time
41,MARC DEMEYER,115,CARPENTER-CONFORTLUXE,117h 35' 26'',+ 01h 18' 28'',,,1974,423326,4708,time
42,LUIS ZUBERO,40,KAS,117h 36' 10'',+ 01h 19' 12'',,,1974,423370,4752,time
43,ARTHURO PECCHELIAN,98,BROOKLYN,117h 36' 10'',+ 01h 19' 12'',,,1974,423370,4752,time
44,DOMINGO PERURENA,38,KAS,117h 36' 10'',+ 01h 19' 12'',,,1974,423370,4752,time
45,JOS DE SCHOENMACKER,4,MOLTENI,117h 36' 34'',+ 01h 19' 36'',,,1974,423394,4776,time
46,JÉSUS MANZANEQUE,71,LA CASERA-BAHAMONTES,117h 36' 52'',+ 01h 19' 54'',,,1974,423412,4794,time
47,WILFRIED MISAC,86,FLANDRIA-SHIMANO-MERLIN PLAGE,117h 40' 24'',+ 01h 23' 26'',,,1974,423624,5006,time
48,CHRISTIAN BLAIN,102,LEJEUNE-JOBO,117h 40' 50'',+ 01h 23' 52'',,,1974,423650,5032,time
49,CARLOS MELERO,36,KAS,117h 42' 15'',+ 01h 25' 17'',,,1974,423735,5117,time
50,JOSEPH SPRUYT,9,MOLTENI,117h 42' 39'',+ 01h 25' 41'',,,1974,423759,5141,time
51,SYLVAIN VASSEUR,20,BIC,117h 43' 35'',+ 01h 26' 37'',,,1974,423815,5197,time
52,BERNARD BOURREAU,22,PEUGEOT-BP,117h 44' 05'',+ 01h 27' 07'',,,1974,423845,5227,time
53,JAN VAN DE WIELE,57,MIC-DE GRIBALDY-LUDO,117h 45' 23'',+ 01h 28' 25'',,,1974,423923,5305,time
54,ANTONIO MENENDEZ,37,KAS,117h 47' 41'',+ 01h 30' 43'',,,1974,424061,5443,time
55,ANDRÉ DIERICKX,84,FLANDRIA-SHIMANO-MERLIN PLAGE,117h 49' 16'',+ 01h 32' 18'',,,1974,424156,5538,time
56,GÉRARD VIANEN,70,GAN-MERCIER,117h 53' 25'',+ 01h 36' 27'',,,1974,424405,5787,time
57,MICHAËL WRIGHT,50,SONOLOR-GITANE,117h 55' 09'',+ 01h 38' 11'',,,1974,424509,5891,time
58,LUDO DELCROIX,3,MOLTENI,117h 55' 11'',+ 01h 38' 13'',,,1974,424511,5893,time
59,ANDRÉ MOLLET,26,PEUGEOT-BP,117h 55' 38'',+ 01h 38' 40'',,,1974,424538,5920,time
60,JOSE-LUIS ABILLEIRA,72,LA CASERA-BAHAMONTES,117h 56' 10'',+ 01h 39' 12'',,,1974,424570,5952,time
61,GERBEN KARSTENS,15,BIC,117h 56' 10'',+ 01h 39' 12'',,,1974,424570,5952,time
62,DAMASO TORRES,78,LA CASERA-BAHAMONTES,117h 57' 09'',+ 01h 40' 11'',,,1974,424629,6011,time
63,GUSTAVE VAN ROESBROECK,59,MIC-DE GRIBALDY-LUDO,117h 58' 09'',+ 01h 41' 11'',,,1974,424689,6071,time
64,ALAIN NOGUES,46,SONOLOR-GITANE,117h 59' 15'',+ 01h 42' 17'',,,1974,424755,6137,time
65,WILLY TEIRLINCK,47,SONOLOR-GITANE,118h 04' 09'',+ 01h 47' 11'',,,1974,425049,6431,time
66,JOSEPH HUYSMANS,5,MOLTENI,118h 05' 58'',+ 01h 49' 00'',,,1974,425158,6540,time
67,JEAN-PIERRE GENET,63,GAN-MERCIER,118h 06' 00'',+ 01h 49' 02'',,,1974,425160,6542,time
68,JEAN JACQUES SANQUER,89,FLANDRIA-SHIMANO-MERLIN PLAGE,118h 07' 27'',+ 01h 50' 29'',,,1974,425247,6629,time
69,VALERIO LUALDI,96,BROOKLYN,118h 08' 20'',+ 01h 51' 22'',,,1974,425300,6682,time
70,NOËL VAN CLOOSTER,56,MIC-DE GRIBALDY-LUDO,118h 08' 20'',+ 01h 51' 22'',,,1974,425300,6682,time
71,GUY SIBILLE,30,PEUGEOT-BP,118h 09' 42'',+ 01h 52' 44'',,,1974,425382,6764,time
72,GÉRARD MONEYRON,87,FLANDRIA-SHIMANO-MERLIN PLAGE,118h 10' 50'',+ 01h 53' 52'',,,1974,425450,6832,time
73,WILFRIED WESEMAEL,60,MIC-DE GRIBALDY-LUDO,118h 11' 07'',+ 01h 54' 09'',,,1974,425467,6849,time
74,CHARLY ROUXEL,29,PEUGEOT-BP,118h 11' 20'',+ 01h 54' 22'',,,1974,425480,6862,time
75,JACQUES ESCLASSAN,25,PEUGEOT-BP,118h 13' 45'',+ 01h 56' 47'',,,1974,425625,7007,time
76,CHRISTIAN RAYMOND,68,GAN-MERCIER,118h 14' 34'',+ 01h 57' 36'',,,1974,425674,7056,time
77,DANIEL REBILLARD,88,FLANDRIA-SHIMANO-MERLIN PLAGE,118h 15' 01'',+ 01h 58' 03'',,,1974,425701,7083,time
78,WIM PRINSEN,129,FRISOL,118h 15' 48'',+ 01h 58' 50'',,,1974,425748,7130,time
79,RAYMOND RIOTTE,28,PEUGEOT-BP,118h 16' 49'',+ 01h 59' 51'',,,1974,425809,7191,time
80,JACKY MOURIOUX,66,GAN-MERCIER,118h 17' 04'',+ 02h 00' 06'',,,1974,425824,7206,time
81,ALAIN VASSEUR,19,BIC,118h 18' 26'',+ 02h 01' 28'',,,1974,425906,7288,time
82,CLAUDE MAGNI,108,LEJEUNE-JOBO,118h 23' 01'',+ 02h 06' 03'',,,1974,426181,7563,time
83,FRANS MINTJENS,8,MOLTENI,118h 23' 11'',+ 02h 06' 13'',,,1974,426191,7573,time
84,HENK PRINSEN,128,FRISOL,118h 27' 07'',+ 02h 10' 09'',,,1974,426427,7809,time
85,JEAN-PIERRE GUILLEMOT,107,LEJEUNE-JOBO,118h 29' 10'',+ 02h 12' 12'',,,1974,426550,7932,time
86,JACQUES BOTHEREL,42,SONOLOR-GITANE,118h 29' 35'',+ 02h 12' 37'',,,1974,426575,7957,time
87,ROBERT MINTKIEWICZ,45,SONOLOR-GITANE,118h 33' 03'',+ 02h 16' 05'',,,1974,426783,8165,time
88,RONNY VAN MARCKE,58,MIC-DE GRIBALDY-LUDO,118h 34' 32'',+ 02h 17' 34'',,,1974,426872,8254,time
89,PATRICK SERCU,100,BROOKLYN,118h 35' 56'',+ 02h 18' 58'',,,1974,426956,8338,time
90,DANIEL DUCREUX,106,LEJEUNE-JOBO,118h 36' 18'',+ 02h 19' 20'',,,1974,426978,8360,time
91,GIANNI DI LORENZO,94,BROOKLYN,118h 37' 50'',+ 02h 20' 52'',,,1974,427070,8452,time
92,BERNARD CROYET,14,BIC,118h 40' 55'',+ 02h 23' 57'',,,1974,427255,8637,time
93,DIRK BAERT,52,MIC-DE GRIBALDY-LUDO,118h 41' 43'',+ 02h 24' 45'',,,1974,427303,8685,time
94,FERNANDO PLAZA,76,LA CASERA-BAHAMONTES,118h 45' 17'',+ 02h 28' 19'',,,1974,427517,8899,time
95,MICHEL COROLLER,82,FLANDRIA-SHIMANO-MERLIN PLAGE,118h 53' 57'',+ 02h 36' 59'',,,1974,428037,9419,time
96,ARTHUR VAN DE VIJVER,117,CARPENTER-CONFORTLUXE,118h 55' 40'',+ 02h 38' 42'',,,1974,428140,9522,time
97,ALDO PARECCHINI,97,BROOKLYN,118h 58' 09'',+ 02h 41' 11'',,,1974,428289,9671,time
98,ALAIN CIGANA,105,LEJEUNE-JOBO,118h 59' 22'',+ 02h 42' 24'',,,1974,428362,9744,time
99,FRANS VAN LOOY,118,CARPENTER-CONFORTLUXE,119h 03' 01'',+ 02h 46' 03'',,,1974,428581,9963,time
100,DANIEL VERPLANCKE,119,CARPENTER-CONFORTLUXE,119h 03' 36'',+ 02h 46' 38'',,,1974,428616,9998,time
101,RÉGIS DELEPINE,83,FLANDRIA-SHIMANO-MERLIN PLAGE,119h 12' 40'',+ 02h 55' 42'',,,1974,429160,10542,time
102,PIET VAN KATWIJK,130,FRISOL,119h 15' 37'',+ 02h 58' 39'',,,1974,429337,10719,time
103,DONALD JOHN ALLAN,123,FRISOL,119h 23' 51'',+ 03h 06' 53'',,,1974,429831,11213,time
104,BERNARD MASSON,109,LEJEUNE-JOBO,119h 33' 54'',+ 03h 16' 56'',,,1974,430434,11816,time
105,LORENZO ALAIMO,122,FRISOL,120h 12' 44'',+ 03h 55' 46'',,,1974,432764,14146,time
1,BERNARD THEVENET,51,PEUGEOT-BP,114h 35' 31'',-,,,1975,412531,0,time
2,EDDY MERCKX,1,MOLTENI,114h 38' 18'',+ 00h 02' 47'',,,1975,412698,167,time
3,LUCIEN VAN IMPE,71,GITANE,114h 40' 32'',+ 00h 05' 01'',,,1975,412832,301,time
4,JUAN ZURANO,30,KAS,114h 42' 03'',+ 00h 06' 32'',,,1975,412923,392,time
5,VICENTE LOPEZ-CARRIL,25,KAS,114h 55' 00'',+ 00h 19' 29'',,,1975,413700,1169,time
6,FELICE GIMONDI,61,BIANCHI,114h 48' 36'',+ 00h 13' 05'',,,1975,413316,785,time
7,FRANCESCO MOSER,81,FILOTEX,114h 59' 44'',+ 00h 24' 13'',,,1975,413984,1453,time
8,JOSEPH FUCHS,85,FILOTEX,115h 01' 22'',+ 00h 25' 51'',,,1975,414082,1551,time
9,WARD Jansens,6,MOLTENI,115h 07' 32'',+ 00h 32' 01'',,,1975,414452,1921,time
10,PEDRO TORRES,48,SUPER SER,115h 11' 07'',+ 00h 35' 36'',,,1975,414667,2136,time
11,HENNIE KUIPER,121,FRISOL,115h 16' 16'',+ 00h 40' 45'',,,1975,414976,2445,time
12,ANDRÉ ROMERO,131,JOBO-SABLIERE-WOLBER,115h 20' 15'',+ 00h 44' 44'',,,1975,415215,2684,time
13,GEORGES TALBOURDET,18,GAN-MERCIER,115h 20' 20'',+ 00h 44' 49'',,,1975,415220,2689,time
14,MARIANO MARTINEZ,77,GITANE,115h 21' 02'',+ 00h 45' 31'',,,1975,415262,2731,time
15,JOAQUIM AGOSTINHO,101,SPORTING-SOTTO-MAYOR-LEJEUNE,115h 26' 17'',+ 00h 50' 46'',,,1975,415577,3046,time
16,RAYMOND DELISLE,56,PEUGEOT-BP,115h 30' 52'',+ 00h 55' 21'',,,1975,415852,3321,time
17,JOS DE SCHOENMACKER,4,MOLTENI,115h 30' 55'',+ 00h 55' 24'',,,1975,415855,3324,time
18,FEDOR DEN HERTOG,124,FRISOL,115h 32' 16'',+ 00h 56' 45'',,,1975,415936,3405,time
19,RAYMOND POULIDOR,11,GAN-MERCIER,115h 35' 28'',+ 00h 59' 57'',,,1975,416128,3597,time
20,FERDINAND JULIEN,107,SPORTING-SOTTO-MAYOR-LEJEUNE,115h 40' 58'',+ 01h 05' 27'',,,1975,416458,3927,time
